epoch,lr,time,loss
0,0.001,09:39:25,0.04761665415324663
1,0.001,09:47:20,0.0020593302522834978
2,0.001,09:51:37,0.0005780393466157348
3,0.001,09:56:01,0.00035625529377476166
4,0.001,10:00:17,0.00024304675199091435
5,0.001,10:03:41,0.0002300224121659994
6,0.001,10:07:04,0.0001900089221957483
7,0.001,10:10:29,0.00017408368260060487
8,0.001,10:13:53,0.000236580946433701
9,0.001,10:17:15,0.00015652307701346122
10,0.001,10:20:40,0.00016127124805199474
11,0.001,10:24:04,0.00018681120522657073
12,0.001,10:27:23,0.00016903178747371196
13,0.001,10:31:28,0.00012972403581866277
14,0.001,10:34:50,0.0001950855053301152
15,0.001,10:38:07,0.0001226596577685685
16,0.001,10:41:24,0.00016393891613980614
17,0.001,10:44:34,0.00011032349520731162
18,0.001,10:47:37,0.0010613081518731984
19,0.001,10:50:37,0.00010957608255232694
20,0.001,10:53:36,0.00010749657153333513
21,0.001,10:56:37,0.0001234117956513959
22,0.001,10:59:36,0.00010876825716920527
23,0.001,11:02:36,0.0001602669074658794
24,0.001,11:05:34,9.559896826707687e-05
25,0.001,11:08:33,0.00011334612027751434
26,0.001,11:11:39,9.374874173088221e-05
27,0.001,11:14:38,0.00017322900791696616
28,0.001,11:17:40,8.892511705276084e-05
29,0.001,11:20:47,9.108109070342527e-05
30,0.001,11:23:53,0.00011342998968982177
31,0.001,11:26:51,9.858116483697442e-05
32,0.001,11:29:51,0.00016990181073185039
33,0.001,11:32:50,8.49222802347336e-05
34,0.001,11:35:49,0.00014426204414681997
35,0.001,11:38:54,8.388185368910048e-05
36,0.001,11:41:53,9.255453797942489e-05
37,0.001,11:44:54,0.00010579299854422585
38,0.001,11:47:56,0.00010166460346087092
39,0.001,11:50:58,0.00010842474351224804
40,0.001,11:53:59,0.00011091757184417891
41,0.001,11:57:01,7.476280462890212e-05
42,0.001,12:00:02,0.00011366229617689832
43,0.001,12:03:05,7.606593988791803e-05
44,0.001,12:06:04,7.843623975592229e-05
45,0.001,12:09:04,0.00014592993109076416
46,0.001,12:12:03,8.049580625113268e-05
47,0.001,12:15:02,8.458295968343866e-05
48,0.001,12:18:02,8.504635854557146e-05
49,0.001,12:21:03,0.00011641918950819521
50,0.001,12:24:03,8.050345490456367e-05
51,0.001,12:27:01,8.223999191984712e-05
52,0.001,12:30:02,0.00010634259255354665
53,0.001,12:33:01,6.841522431825393e-05
54,0.001,12:36:00,9.500410875487617e-05
55,0.001,12:38:59,6.884792220351433e-05
56,0.001,12:41:58,8.756082300479228e-05
57,0.001,12:44:56,9.124434433322293e-05
58,0.001,12:47:56,6.11179808861261e-05
59,0.001,12:50:55,5.696022043353309e-05
